ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.88551,0.58443,-1.515165,0.365726, 
Left caudal middle frontal, 0.55773,1.42864, 0.390390,0.773727, 
Left cuneus,-1.47181,1.18413,-1.242949,0.421851, 
Left entorhinal,-0.75618,0.51561,-1.466584,0.383362, 
Left fusiform,-1.14313,0.66812,-1.710966,0.330264, 
Left inferior parietal,-0.07203,1.19209,-0.060423,0.952046, 
Left inferior temporal,-0.87541,0.72300,-1.210816,0.421851, 
Left isthmus cingulate,-1.25661,0.70698,-1.777422,0.330264, 
Left lateral occipital, 0.18064,1.09460, 0.165031,0.898532, 
Left lateral orbitofrontal,-1.82054,0.61105,-2.979383,0.120795, 
Left lingual,-0.49325,0.68600,-0.719016,0.640139, 
Left medial orbitofrontal,-1.65375,0.49358,-3.350559,0.092513,.
Left middle temporal,-0.53296,0.81743,-0.651990,0.654448, 
Left parahippocampal,-0.62904,0.60301,-1.043169,0.479818, 
Left paracentral,-1.00309,0.98268,-1.020774,0.483598, 
Left pars opercularis,-0.71160,0.76809,-0.926454,0.529081, 
Left pars orbitalis,-1.22002,0.66452,-1.835932,0.330264, 
Left pars triangularis,-0.98677,0.75705,-1.303449,0.421851, 
Left pericalcarine, 0.32719,0.82164, 0.398215,0.773727, 
Left postcentral,-1.28985,1.05726,-1.219999,0.421851, 
Left posterior cingulate,-0.28787,0.74008,-0.388978,0.773727, 
Left precentral,-0.69453,0.99774,-0.696100,0.640139, 
Left precuneus,-0.73754,1.04062,-0.708748,0.640139, 
Left rostral anterior cingulate,-0.93245,0.42007,-2.219758,0.298973, 
Left rostral middle frontal,-1.38096,0.88860,-1.554094,0.365726, 
Left superior frontal,-1.46784,1.05112,-1.396455,0.401566, 
Left superior parietal,-0.85647,1.36504,-0.627435,0.661004, 
Left superior temporal,-1.26799,0.80700,-1.571231,0.365726, 
Left supramarginal,-0.15639,1.14865,-0.136153,0.906843, 
Left transverse temporal,-0.12631,0.70329,-0.179596,0.898532, 
Left insula,-0.74513,0.43952,-1.695319,0.330264, 
Right caudal anterior cingulate,-0.57762,0.45271,-1.275925,0.421851, 
Right caudal middle frontal, 0.51503,1.22207, 0.421441,0.773727, 
Right cuneus, 0.85509,1.02858, 0.831335,0.577043, 
Right entorhinal,-1.06791,0.52491,-2.034467,0.323237, 
Right fusiform,-0.76447,0.67207,-1.137473,0.448565, 
Right inferior parietal,-0.39819,0.95328,-0.417700,0.773727, 
Right inferior temporal,-1.53937,0.83730,-1.838490,0.330264, 
Right isthmus cingulate,-1.55926,0.71540,-2.179552,0.298973, 
Right lateral occipital, 0.41406,1.17939, 0.351077,0.790687, 
Right lateral orbitofrontal,-1.54499,0.54889,-2.814772,0.120795, 
Right lingual,-0.40515,0.67724,-0.598236,0.671339, 
Right medial orbitofrontal,-1.40210,0.50690,-2.766040,0.120795, 
Right middle temporal,-0.73689,0.86105,-0.855809,0.570913, 
Right parahippocampal,-0.87172,0.61765,-1.411354,0.401566, 
Right paracentral,-0.73368,1.06923,-0.686178,0.640139, 
Right pars opercularis,-1.01591,0.66881,-1.518975,0.365726, 
Right pars orbitalis,-0.87779,0.54431,-1.612672,0.365726, 
Right pars triangularis,-1.34751,0.64681,-2.083306,0.323237, 
Right pericalcarine, 0.95403,0.83258, 1.145864,0.448565, 
Right postcentral,-1.42489,1.07856,-1.321104,0.421851, 
Right posterior cingulate,-0.86397,0.78206,-1.104742,0.459573, 
Right precentral,-0.99370,0.95301,-1.042698,0.479818, 
Right precuneus,-1.37951,1.07855,-1.279044,0.421851, 
Right rostral anterior cingulate,-0.82566,0.37538,-2.199525,0.298973, 
Right rostral middle frontal,-1.15946,0.65534,-1.769245,0.330264, 
Right superior frontal,-1.46117,0.83789,-1.743880,0.330264, 
Right superior parietal,-1.34724,1.37037,-0.983119,0.499048, 
Right superior temporal,-1.22900,0.69297,-1.773536,0.330264, 
Right supramarginal,-0.19808,1.03148,-0.192038,0.898532, 
Right transverse temporal,-0.90400,0.71620,-1.262216,0.421851, 
Right insula,-0.82314,0.43604,-1.887744,0.330264, 
