ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.135755,0.072476,-1.87309,0.0998415,.
Left caudal middle frontal,-0.076940,0.046788,-1.64443,0.1317101, 
Left cuneus,-0.073300,0.050712,-1.44543,0.1693298, 
Left entorhinal,-0.136748,0.093397,-1.46415,0.1665196, 
Left fusiform,-0.103033,0.074905,-1.37552,0.1891146, 
Left inferior parietal,-0.106449,0.051246,-2.07720,0.0738625,.
Left inferior temporal,-0.136696,0.065625,-2.08300,0.0738625,.
Left isthmus cingulate,-0.120687,0.058033,-2.07965,0.0738625,.
Left lateral occipital,-0.100496,0.056041,-1.79326,0.1093036, 
Left lateral orbitofrontal,-0.100820,0.058251,-1.73079,0.1175738, 
Left lingual,-0.029193,0.079507,-0.36717,0.7256576, 
Left medial orbitofrontal,-0.105777,0.066563,-1.58912,0.1412677, 
Left middle temporal,-0.184732,0.059063,-3.12772,0.0161115,*
Left parahippocampal,-0.056445,0.077695,-0.72650,0.4841693, 
Left paracentral,-0.088880,0.038107,-2.33238,0.0562683,.
Left pars opercularis,-0.112078,0.051450,-2.17838,0.0706797,.
Left pars orbitalis,-0.083295,0.056659,-1.47013,0.1665196, 
Left pars triangularis,-0.107042,0.052028,-2.05740,0.0740404,.
Left pericalcarine,-0.023151,0.071865,-0.32214,0.7477473, 
Left postcentral,-0.096675,0.040207,-2.40444,0.0536033,.
Left posterior cingulate,-0.154110,0.048770,-3.15990,0.0161115,*
Left precentral,-0.079213,0.043080,-1.83873,0.1049820, 
Left precuneus,-0.115405,0.045551,-2.53355,0.0459914,*
Left rostral anterior cingulate,-0.198338,0.079822,-2.48475,0.0459914,*
Left rostral middle frontal,-0.129267,0.061220,-2.11151,0.0738625,.
Left superior frontal,-0.116398,0.044961,-2.58887,0.0453776,*
Left superior parietal,-0.088711,0.035583,-2.49311,0.0459914,*
Left superior temporal,-0.194997,0.048697,-4.00428,0.0028963,**
Left supramarginal,-0.129426,0.049619,-2.60841,0.0453776,*
Left transverse temporal,-0.197741,0.062425,-3.16767,0.0161115,*
Left insula,-0.181045,0.072975,-2.48094,0.0459914,*
Right caudal anterior cingulate,-0.148704,0.079016,-1.88195,0.0998415,.
Right caudal middle frontal,-0.099139,0.047727,-2.07722,0.0738625,.
Right cuneus,-0.113389,0.050757,-2.23395,0.0664978,.
Right entorhinal,-0.222342,0.103604,-2.14608,0.0737594,.
Right fusiform,-0.125467,0.085456,-1.46821,0.1665196, 
Right inferior parietal,-0.140289,0.054542,-2.57212,0.0453776,*
Right inferior temporal,-0.171560,0.072458,-2.36773,0.0562189,.
Right isthmus cingulate,-0.132781,0.051340,-2.58629,0.0453776,*
Right lateral occipital,-0.092331,0.056771,-1.62637,0.1338140, 
Right lateral orbitofrontal,-0.109645,0.061369,-1.78665,0.1093036, 
Right lingual,-0.078085,0.075505,-1.03417,0.3179356, 
Right medial orbitofrontal,-0.134317,0.061429,-2.18656,0.0706797,.
Right middle temporal,-0.187402,0.057441,-3.26251,0.0161115,*
Right parahippocampal,-0.136811,0.071899,-1.90283,0.0985011,.
Right paracentral,-0.074511,0.036323,-2.05133,0.0740404,.
Right pars opercularis,-0.066935,0.049552,-1.35082,0.1941048, 
Right pars orbitalis,-0.084315,0.055837,-1.51001,0.1616022, 
Right pars triangularis,-0.082259,0.047339,-1.73764,0.1175738, 
Right pericalcarine,-0.095218,0.070979,-1.34149,0.1941048, 
Right postcentral,-0.114418,0.042027,-2.72249,0.0432396,*
Right posterior cingulate,-0.190740,0.054856,-3.47708,0.0133561,*
Right precentral,-0.110117,0.046902,-2.34782,0.0562683,.
Right precuneus,-0.116063,0.042096,-2.75708,0.0432396,*
Right rostral anterior cingulate,-0.136509,0.080964,-1.68604,0.1241894, 
Right rostral middle frontal,-0.101393,0.060227,-1.68352,0.1241894, 
Right superior frontal,-0.124422,0.046100,-2.69893,0.0432396,*
Right superior parietal,-0.079122,0.039324,-2.01207,0.0789128,.
Right superior temporal,-0.210489,0.050705,-4.15128,0.0028963,**
Right supramarginal,-0.091531,0.050910,-1.79789,0.1093036, 
Right transverse temporal,-0.198668,0.062420,-3.18276,0.0161115,*
Right insula,-0.173984,0.075598,-2.30145,0.0583884,.
