ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.1640785,0.112298, 1.461105,0.49931, 
Left caudal middle frontal,-0.0173020,0.076766,-0.225386,0.91880, 
Left cuneus,-0.0823813,0.076699,-1.074088,0.58608, 
Left entorhinal, 0.2721473,0.145379, 1.871987,0.35097, 
Left fusiform, 0.1870689,0.137068, 1.364794,0.52114, 
Left inferior parietal, 0.0345079,0.087954, 0.392338,0.91690, 
Left inferior temporal, 0.2193659,0.116785, 1.878374,0.35097, 
Left isthmus cingulate,-0.0261690,0.089881,-0.291150,0.91880, 
Left lateral occipital, 0.0096186,0.091116, 0.105564,0.96257, 
Left lateral orbitofrontal, 0.1534810,0.094510, 1.623971,0.45507, 
Left lingual,-0.0740971,0.110717,-0.669247,0.78092, 
Left medial orbitofrontal, 0.2239282,0.108151, 2.070520,0.35097, 
Left middle temporal, 0.0266806,0.107889, 0.247296,0.91880, 
Left parahippocampal, 0.2364518,0.119584, 1.977292,0.35097, 
Left paracentral,-0.0485671,0.068814,-0.705774,0.76441, 
Left pars opercularis, 0.1153969,0.081993, 1.407400,0.52114, 
Left pars orbitalis, 0.0793421,0.094045, 0.843657,0.66941, 
Left pars triangularis,-0.0483145,0.085324,-0.566247,0.82420, 
Left pericalcarine,-0.0886267,0.115536,-0.767092,0.72375, 
Left postcentral,-0.0234143,0.057626,-0.406316,0.91690, 
Left posterior cingulate, 0.2272217,0.094051, 2.415937,0.35097, 
Left precentral,-0.0318069,0.059736,-0.532459,0.83809, 
Left precuneus,-0.0701239,0.072725,-0.964233,0.65033, 
Left rostral anterior cingulate, 0.1466524,0.122820, 1.194047,0.53479, 
Left rostral middle frontal,-0.0930740,0.102634,-0.906852,0.66941, 
Left superior frontal,-0.0920509,0.083844,-1.097888,0.58381, 
Left superior parietal,-0.0080569,0.059116,-0.136291,0.95317, 
Left superior temporal, 0.1016068,0.076706, 1.324631,0.52114, 
Left supramarginal,-0.0027933,0.075411,-0.037041,0.98638, 
Left transverse temporal, 0.0814273,0.093470, 0.871161,0.66941, 
Left insula, 0.2729653,0.123573, 2.208935,0.35097, 
Right caudal anterior cingulate, 0.2554210,0.136525, 1.870879,0.35097, 
Right caudal middle frontal,-0.1036930,0.079548,-1.303531,0.52114, 
Right cuneus,-0.1502258,0.077242,-1.944878,0.35097, 
Right entorhinal, 0.1575729,0.157885, 0.998025,0.63803, 
Right fusiform, 0.2384908,0.148854, 1.602179,0.45507, 
Right inferior parietal,-0.0285855,0.092140,-0.310238,0.91880, 
Right inferior temporal, 0.1971484,0.122565, 1.608519,0.45507, 
Right isthmus cingulate, 0.1090734,0.092958, 1.173365,0.53479, 
Right lateral occipital, 0.1045565,0.088514, 1.181238,0.53479, 
Right lateral orbitofrontal, 0.1278471,0.097520, 1.310977,0.52114, 
Right lingual,-0.0017540,0.108118,-0.016223,0.98707, 
Right medial orbitofrontal, 0.0245411,0.109627, 0.223860,0.91880, 
Right middle temporal, 0.0462730,0.101479, 0.455987,0.89377, 
Right parahippocampal, 0.0737228,0.116286, 0.633978,0.79624, 
Right paracentral,-0.0616789,0.071969,-0.857026,0.66941, 
Right pars opercularis, 0.1667228,0.083022, 2.008166,0.35097, 
Right pars orbitalis, 0.1168672,0.099444, 1.175201,0.53479, 
Right pars triangularis,-0.0297451,0.086007,-0.345846,0.91880, 
Right pericalcarine,-0.0650953,0.113139,-0.575357,0.82420, 
Right postcentral, 0.0111358,0.058647, 0.189881,0.92404, 
Right posterior cingulate,-0.0237055,0.105947,-0.223749,0.91880, 
Right precentral,-0.0031008,0.062913,-0.049287,0.98638, 
Right precuneus,-0.0185020,0.074102,-0.249684,0.91880, 
Right rostral anterior cingulate, 0.3073937,0.152308, 2.018233,0.35097, 
Right rostral middle frontal,-0.1642600,0.107554,-1.527229,0.47076, 
Right superior frontal,-0.1308439,0.085988,-1.521649,0.47076, 
Right superior parietal,-0.0570098,0.067459,-0.845099,0.66941, 
Right superior temporal, 0.1492817,0.075261, 1.983528,0.35097, 
Right supramarginal, 0.0167058,0.077693, 0.215022,0.91880, 
Right transverse temporal, 0.1534177,0.087911, 1.745144,0.42322, 
Right insula, 0.1449825,0.119128, 1.217029,0.53479, 
