ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.0420944,0.166783,-0.2523906,0.98378, 
Left caudal middle frontal, 0.1098604,0.125844, 0.8729872,0.96381, 
Left cuneus, 0.1242698,0.117123, 1.0610215,0.96381, 
Left entorhinal,-0.0428980,0.213529,-0.2008999,0.98378, 
Left fusiform,-0.1207665,0.221492,-0.5452422,0.96381, 
Left inferior parietal, 0.1331455,0.117124, 1.1367886,0.96381, 
Left inferior temporal, 0.0033656,0.173221, 0.0194294,0.99289, 
Left isthmus cingulate,-0.0122808,0.122589,-0.1001780,0.98378, 
Left lateral occipital,-0.0149915,0.112814,-0.1328867,0.98378, 
Left lateral orbitofrontal, 0.0012273,0.137475, 0.0089275,0.99289, 
Left lingual,-0.3116728,0.171426,-1.8181155,0.96381, 
Left medial orbitofrontal, 0.0760322,0.145242, 0.5234871,0.96381, 
Left middle temporal, 0.1892167,0.142448, 1.3283208,0.96381, 
Left parahippocampal,-0.1049617,0.171454,-0.6121864,0.96381, 
Left paracentral,-0.0293354,0.101241,-0.2897575,0.98378, 
Left pars opercularis, 0.0418527,0.116476, 0.3593259,0.98378, 
Left pars orbitalis, 0.2435770,0.149471, 1.6295925,0.96381, 
Left pars triangularis, 0.2031469,0.122054, 1.6644039,0.96381, 
Left pericalcarine,-0.0406965,0.165592,-0.2457643,0.98378, 
Left postcentral, 0.0701107,0.082339, 0.8514894,0.96381, 
Left posterior cingulate,-0.1199036,0.155356,-0.7717982,0.96381, 
Left precentral, 0.1146153,0.087012, 1.3172381,0.96381, 
Left precuneus, 0.0199102,0.108448, 0.1835912,0.98378, 
Left rostral anterior cingulate,-0.1305409,0.176303,-0.7404335,0.96381, 
Left rostral middle frontal, 0.1920024,0.153915, 1.2474587,0.96381, 
Left superior frontal, 0.1298200,0.136802, 0.9489603,0.96381, 
Left superior parietal, 0.1776851,0.080640, 2.2034264,0.96381, 
Left superior temporal, 0.0886753,0.114544, 0.7741613,0.96381, 
Left supramarginal, 0.2104874,0.119074, 1.7677033,0.96381, 
Left transverse temporal,-0.0136145,0.125816,-0.1082092,0.98378, 
Left insula, 0.0102750,0.176049, 0.0583645,0.99289, 
Right caudal anterior cingulate, 0.0704484,0.212115, 0.3321230,0.98378, 
Right caudal middle frontal, 0.0986668,0.124623, 0.7917215,0.96381, 
Right cuneus, 0.0817618,0.109845, 0.7443384,0.96381, 
Right entorhinal, 0.2306846,0.211978, 1.0882483,0.96381, 
Right fusiform,-0.1265110,0.214787,-0.5890063,0.96381, 
Right inferior parietal, 0.0594684,0.120880, 0.4919614,0.96381, 
Right inferior temporal, 0.1058212,0.176761, 0.5986677,0.96381, 
Right isthmus cingulate,-0.0053488,0.123098,-0.0434516,0.99289, 
Right lateral occipital,-0.0460560,0.107374,-0.4289307,0.96381, 
Right lateral orbitofrontal,-0.0991101,0.135610,-0.7308452,0.96381, 
Right lingual,-0.2615095,0.154708,-1.6903397,0.96381, 
Right medial orbitofrontal, 0.1114199,0.149588, 0.7448462,0.96381, 
Right middle temporal, 0.1011512,0.150322, 0.6728976,0.96381, 
Right parahippocampal, 0.0360066,0.164975, 0.2182556,0.98378, 
Right paracentral, 0.0175389,0.102300, 0.1714453,0.98378, 
Right pars opercularis, 0.0440148,0.123244, 0.3571346,0.98378, 
Right pars orbitalis,-0.0429909,0.160920,-0.2671578,0.98378, 
Right pars triangularis, 0.0659762,0.142106, 0.4642750,0.96381, 
Right pericalcarine, 0.0829394,0.149420, 0.5550764,0.96381, 
Right postcentral, 0.0427113,0.079112, 0.5398842,0.96381, 
Right posterior cingulate,-0.1984338,0.163396,-1.2144352,0.96381, 
Right precentral, 0.0696337,0.090057, 0.7732142,0.96381, 
Right precuneus, 0.1502109,0.097739, 1.5368632,0.96381, 
Right rostral anterior cingulate,-0.0220876,0.213903,-0.1032596,0.98378, 
Right rostral middle frontal, 0.0732432,0.162488, 0.4507618,0.96381, 
Right superior frontal, 0.1299057,0.139929, 0.9283664,0.96381, 
Right superior parietal, 0.1339996,0.084871, 1.5788585,0.96381, 
Right superior temporal, 0.1031923,0.115901, 0.8903500,0.96381, 
Right supramarginal, 0.0520941,0.118076, 0.4411914,0.96381, 
Right transverse temporal,-0.0627425,0.121486,-0.5164569,0.96381, 
Right insula,-0.1515716,0.150790,-1.0051810,0.96381, 
