ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,1.12437,0.24316, 0.482076,0.79683, 
Left caudal middle frontal,1.18297,0.31551, 0.532558,0.77559, 
Left cuneus,1.37679,0.36671, 0.871947,0.62528, 
Left entorhinal,1.02428,0.18116, 0.132400,0.95453, 
Left fusiform,0.96199,0.20341,-0.190483,0.95453, 
Left inferior parietal,0.92600,0.36207,-0.212329,0.95453, 
Left inferior temporal,0.80707,0.26609,-0.805531,0.65180, 
Left isthmus cingulate,1.16553,0.29246, 0.523743,0.77559, 
Left lateral occipital,0.70933,0.34121,-1.006522,0.57289, 
Left lateral orbitofrontal,1.51435,0.27168, 1.527505,0.41323, 
Left lingual,1.74995,0.24146, 2.317490,0.20359, 
Left medial orbitofrontal,0.77612,0.25134,-1.008394,0.57289, 
Left middle temporal,0.89329,0.24534,-0.459931,0.80050, 
Left parahippocampal,1.24578,0.23501, 0.935135,0.61950, 
Left paracentral,2.00193,0.42110, 1.648307,0.36593, 
Left pars opercularis,1.96379,0.28839, 2.340122,0.20359, 
Left pars orbitalis,1.53381,0.25148, 1.700969,0.36593, 
Left pars triangularis,1.35053,0.27114, 1.108261,0.53550, 
Left pericalcarine,0.94587,0.26351,-0.211182,0.95453, 
Left postcentral,2.88767,0.43323, 2.447752,0.20359, 
Left posterior cingulate,0.79219,0.28067,-0.829989,0.64630, 
Left precentral,2.98301,0.41494, 2.633976,0.19596, 
Left precuneus,1.94479,0.39408, 1.687860,0.36593, 
Left rostral anterior cingulate,0.97818,0.21440,-0.102876,0.95453, 
Left rostral middle frontal,0.98977,0.23757,-0.043293,0.96547, 
Left superior frontal,1.24793,0.29003, 0.763651,0.67304, 
Left superior parietal,2.36897,0.50939, 1.693126,0.36593, 
Left superior temporal,1.51054,0.30566, 1.349428,0.45777, 
Left supramarginal,1.49359,0.32916, 1.218815,0.51188, 
Left transverse temporal,1.59664,0.25381, 1.843498,0.36593, 
Left insula,1.31863,0.19329, 1.431010,0.45382, 
Right caudal anterior cingulate,1.14819,0.18776, 0.735998,0.68160, 
Right caudal middle frontal,1.46813,0.30720, 1.249979,0.51188, 
Right cuneus,2.00343,0.42286, 1.643228,0.36593, 
Right entorhinal,0.96191,0.16049,-0.241959,0.95453, 
Right fusiform,1.13064,0.19043, 0.644790,0.71483, 
Right inferior parietal,1.03420,0.35124, 0.095731,0.95453, 
Right inferior temporal,1.01504,0.23733, 0.062892,0.96542, 
Right isthmus cingulate,1.31422,0.30534, 0.894897,0.62528, 
Right lateral occipital,1.04549,0.36107, 0.123210,0.95453, 
Right lateral orbitofrontal,1.35437,0.24815, 1.222395,0.51188, 
Right lingual,1.64175,0.25213, 1.966311,0.33937, 
Right medial orbitofrontal,0.86188,0.23689,-0.627456,0.71483, 
Right middle temporal,1.03048,0.25594, 0.117321,0.95453, 
Right parahippocampal,1.86812,0.24090, 2.594173,0.19596, 
Right paracentral,2.54731,0.42334, 2.208731,0.21075, 
Right pars opercularis,1.42940,0.26011, 1.373475,0.45777, 
Right pars orbitalis,1.53390,0.24253, 1.763960,0.36593, 
Right pars triangularis,1.44264,0.25690, 1.426537,0.45382, 
Right pericalcarine,1.11702,0.27978, 0.395532,0.84180, 
Right postcentral,2.46362,0.39655, 2.273665,0.20359, 
Right posterior cingulate,1.53918,0.27283, 1.580669,0.39251, 
Right precentral,2.71408,0.37386, 2.670620,0.19596, 
Right precuneus,1.63171,0.41798, 1.171416,0.53378, 
Right rostral anterior cingulate,1.16703,0.17422, 0.886616,0.62528, 
Right rostral middle frontal,0.87131,0.20824,-0.661514,0.71483, 
Right superior frontal,1.19935,0.27074, 0.671436,0.71483, 
Right superior parietal,2.01888,0.42458, 1.654672,0.36593, 
Right superior temporal,1.37371,0.27956, 1.135772,0.53378, 
Right supramarginal,1.53152,0.31556, 1.350805,0.45777, 
Right transverse temporal,1.32092,0.25771, 1.080004,0.54277, 
Right insula,1.24520,0.19399, 1.130467,0.53378, 
