ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.0400265,0.053649, 0.746079,0.73822, 
Left caudal middle frontal, 0.0226539,0.041621, 0.544292,0.77381, 
Left cuneus, 0.0084077,0.036191, 0.232315,0.85795, 
Left entorhinal, 0.0204224,0.070827, 0.288343,0.85795, 
Left fusiform,-0.0179252,0.061713,-0.290460,0.85795, 
Left inferior parietal,-0.0214630,0.037562,-0.571409,0.77381, 
Left inferior temporal,-0.0221776,0.048889,-0.453631,0.84008, 
Left isthmus cingulate,-0.0072619,0.044409,-0.163523,0.89921, 
Left lateral occipital,-0.0412083,0.039316,-1.048139,0.62395, 
Left lateral orbitofrontal, 0.0826575,0.049182, 1.680656,0.42378, 
Left lingual, 0.1011201,0.055663, 1.816658,0.42378, 
Left medial orbitofrontal,-0.0293059,0.052554,-0.557630,0.77381, 
Left middle temporal,-0.0403252,0.055107,-0.731764,0.73822, 
Left parahippocampal, 0.0645645,0.054558, 1.183413,0.61351, 
Left paracentral, 0.0379415,0.031014, 1.223386,0.61351, 
Left pars opercularis, 0.1156198,0.047489, 2.434685,0.23901, 
Left pars orbitalis, 0.0853000,0.053137, 1.605279,0.42378, 
Left pars triangularis, 0.0352405,0.049244, 0.715626,0.73822, 
Left pericalcarine,-0.0366521,0.050663,-0.723450,0.73822, 
Left postcentral, 0.0638603,0.030250, 2.111054,0.36683, 
Left posterior cingulate,-0.0343340,0.046684,-0.735460,0.73822, 
Left precentral, 0.0785848,0.032188, 2.441468,0.23901, 
Left precuneus, 0.0290312,0.033819, 0.858428,0.73510, 
Left rostral anterior cingulate,-0.0015123,0.060506,-0.024994,0.98007, 
Left rostral middle frontal,-0.0148016,0.055902,-0.264779,0.85795, 
Left superior frontal, 0.0249895,0.045547, 0.548647,0.77381, 
Left superior parietal, 0.0423287,0.025952, 1.631014,0.42378, 
Left superior temporal, 0.0494540,0.043206, 1.144602,0.62395, 
Left supramarginal, 0.0273347,0.040570, 0.673768,0.74735, 
Left transverse temporal, 0.0878163,0.051242, 1.713768,0.42378, 
Left insula, 0.1095628,0.066545, 1.646453,0.42378, 
Right caudal anterior cingulate, 0.0770693,0.069596, 1.107374,0.62395, 
Right caudal middle frontal, 0.0454877,0.042344, 1.074251,0.62395, 
Right cuneus, 0.0114142,0.033051, 0.345352,0.85795, 
Right entorhinal,-0.0208123,0.079345,-0.262301,0.85795, 
Right fusiform, 0.0455625,0.068478, 0.665364,0.74735, 
Right inferior parietal,-0.0227743,0.038007,-0.599220,0.77381, 
Right inferior temporal, 0.0134184,0.054695, 0.245333,0.85795, 
Right isthmus cingulate, 0.0302439,0.042412, 0.713103,0.73822, 
Right lateral occipital, 0.0144734,0.036860, 0.392665,0.85795, 
Right lateral orbitofrontal, 0.0684006,0.053426, 1.280276,0.61351, 
Right lingual, 0.0866817,0.053390, 1.623568,0.42378, 
Right medial orbitofrontal,-0.0440774,0.055830,-0.789487,0.73822, 
Right middle temporal,-0.0056473,0.052030,-0.108538,0.92861, 
Right parahippocampal, 0.1458250,0.054890, 2.656671,0.23901, 
Right paracentral, 0.0599440,0.031339, 1.912782,0.42378, 
Right pars opercularis, 0.0821156,0.049921, 1.644914,0.42378, 
Right pars orbitalis, 0.0969790,0.054849, 1.768116,0.42378, 
Right pars triangularis, 0.0549197,0.051368, 1.069136,0.62395, 
Right pericalcarine,-0.0123118,0.047179,-0.260958,0.85795, 
Right postcentral, 0.0735446,0.032796, 2.242480,0.31715, 
Right posterior cingulate, 0.0497090,0.050124, 0.991723,0.62395, 
Right precentral, 0.0990921,0.034787, 2.848502,0.23901, 
Right precuneus, 0.0126517,0.032527, 0.388964,0.85795, 
Right rostral anterior cingulate, 0.0962788,0.075706, 1.271747,0.61351, 
Right rostral middle frontal,-0.0644007,0.063135,-1.020048,0.62395, 
Right superior frontal, 0.0163042,0.047938, 0.340109,0.85795, 
Right superior parietal, 0.0402048,0.031009, 1.296532,0.61351, 
Right superior temporal, 0.0544710,0.045776, 1.189954,0.61351, 
Right supramarginal, 0.0496923,0.041992, 1.183382,0.61351, 
Right transverse temporal, 0.0606875,0.050014, 1.213399,0.61351, 
Right insula, 0.0655310,0.065740, 0.996815,0.62395, 
