ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 2.746307,0.47865, 2.110637,0.1868404, 
Left caudal middle frontal, 1.817400,0.56288, 1.061334,0.6313613, 
Left cuneus, 1.243386,0.52770, 0.412808,0.8673344, 
Left entorhinal, 1.113208,0.32126, 0.333826,0.8673344, 
Left fusiform, 0.789093,0.31847,-0.743781,0.7657991, 
Left inferior parietal, 0.278403,0.61032,-2.095094,0.1868404, 
Left inferior temporal, 0.391705,0.43784,-2.140635,0.1868404, 
Left isthmus cingulate, 3.141585,0.62638, 1.827519,0.2466208, 
Left lateral occipital, 0.817826,0.56130,-0.358289,0.8673344, 
Left lateral orbitofrontal, 1.202363,0.59162, 0.311500,0.8673344, 
Left lingual, 0.835102,0.42143,-0.427599,0.8673344, 
Left medial orbitofrontal, 0.588601,0.54288,-0.976293,0.6313613, 
Left middle temporal, 0.109737,0.60565,-3.648427,0.0081794,**
Left parahippocampal, 2.022459,0.40400, 1.743343,0.2799427, 
Left paracentral,10.161085,0.76477, 3.031724,0.0284228,*
Left pars opercularis, 0.742095,0.70310,-0.424234,0.8673344, 
Left pars orbitalis, 1.030263,0.58112, 0.051305,0.9590823, 
Left pars triangularis, 0.363863,0.69401,-1.456722,0.4239242, 
Left pericalcarine, 1.271912,0.38301, 0.627981,0.8425903, 
Left postcentral, 0.599078,0.88287,-0.580338,0.8493800, 
Left posterior cingulate, 1.361173,0.51431, 0.599539,0.8493800, 
Left precentral, 6.040567,0.89740, 2.004113,0.2148919, 
Left precuneus, 1.304776,0.64365, 0.413318,0.8673344, 
Left rostral anterior cingulate, 1.609949,0.44757, 1.063977,0.6313613, 
Left rostral middle frontal, 0.896557,0.49128,-0.222263,0.9124062, 
Left superior frontal, 2.149604,0.59244, 1.291745,0.4764348, 
Left superior parietal, 1.051432,0.83874, 0.059796,0.9590823, 
Left superior temporal, 0.218304,0.81882,-1.858613,0.2466208, 
Left supramarginal, 0.545974,0.59992,-1.008772,0.6313613, 
Left transverse temporal, 2.102234,0.56407, 1.317207,0.4764348, 
Left insula, 2.580821,0.51259, 1.849631,0.2466208, 
Right caudal anterior cingulate, 1.824587,0.40203, 1.495811,0.4175790, 
Right caudal middle frontal, 3.073039,0.59822, 1.876688,0.2466208, 
Right cuneus, 1.234649,0.58768, 0.358676,0.8673344, 
Right entorhinal, 0.976041,0.32399,-0.074849,0.9590823, 
Right fusiform, 0.436154,0.36270,-2.287735,0.1526092, 
Right inferior parietal, 0.142465,0.65079,-2.994318,0.0284228,*
Right inferior temporal, 0.221307,0.43933,-3.432982,0.0102083,*
Right isthmus cingulate, 1.762082,0.58172, 0.973830,0.6313613, 
Right lateral occipital, 0.451407,0.62036,-1.282135,0.4764348, 
Right lateral orbitofrontal, 1.218584,0.60132, 0.328758,0.8673344, 
Right lingual, 1.061247,0.44288, 0.134222,0.9390551, 
Right medial orbitofrontal, 0.605741,0.53221,-0.941926,0.6313613, 
Right middle temporal, 0.115460,0.57814,-3.734097,0.0081794,**
Right parahippocampal, 1.064916,0.41230, 0.152549,0.9390551, 
Right paracentral, 7.404744,0.75494, 2.652017,0.0708681,.
Right pars opercularis, 1.371634,0.67517, 0.468038,0.8673344, 
Right pars orbitalis, 1.070917,0.51234, 0.133729,0.9390551, 
Right pars triangularis, 0.878070,0.56531,-0.230015,0.9124062, 
Right pericalcarine, 1.841192,0.46730, 1.306266,0.4764348, 
Right postcentral, 1.993682,0.91931, 0.750548,0.7657991, 
Right posterior cingulate, 0.845920,0.52368,-0.319530,0.8673344, 
Right precentral, 9.333739,0.87434, 2.554661,0.0823758,.
Right precuneus, 0.558080,0.70851,-0.823210,0.7269741, 
Right rostral anterior cingulate, 1.149349,0.39099, 0.356012,0.8673344, 
Right rostral middle frontal, 0.717648,0.46794,-0.709019,0.7804053, 
Right superior frontal, 2.441067,0.62059, 1.438033,0.4239242, 
Right superior parietal, 1.454064,0.79233, 0.472480,0.8673344, 
Right superior temporal, 0.045431,0.90761,-3.406258,0.0102083,*
Right supramarginal, 0.544273,0.60574,-1.004232,0.6313613, 
Right transverse temporal, 2.414362,0.58918, 1.496038,0.4175790, 
Right insula, 1.675596,0.53847, 0.958585,0.6313613, 
