ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.1003962,0.093383, 1.075100,0.51631, 
Left caudal middle frontal,-0.0586481,0.065244,-0.898903,0.57451, 
Left cuneus,-0.1070864,0.072955,-1.467847,0.38319, 
Left entorhinal, 0.2184059,0.135798, 1.608309,0.34074, 
Left fusiform, 0.1070340,0.112408, 0.952192,0.57261, 
Left inferior parietal,-0.0127163,0.074845,-0.169904,0.87938, 
Left inferior temporal, 0.1523528,0.096585, 1.577389,0.34074, 
Left isthmus cingulate,-0.0854949,0.068442,-1.249165,0.42695, 
Left lateral occipital,-0.0229002,0.085554,-0.267670,0.83318, 
Left lateral orbitofrontal, 0.0854709,0.066788, 1.279743,0.42695, 
Left lingual,-0.1349017,0.093362,-1.444935,0.38319, 
Left medial orbitofrontal, 0.1633781,0.090451, 1.806260,0.34074, 
Left middle temporal,-0.0347141,0.089575,-0.387541,0.77346, 
Left parahippocampal, 0.1756924,0.103811, 1.692430,0.34074, 
Left paracentral,-0.0902122,0.055385,-1.628823,0.34074, 
Left pars opercularis, 0.0617788,0.062857, 0.982849,0.56446, 
Left pars orbitalis, 0.0160595,0.070570, 0.227569,0.84746, 
Left pars triangularis,-0.1054772,0.064245,-1.641788,0.34074, 
Left pericalcarine,-0.1026689,0.115065,-0.892271,0.57451, 
Left postcentral,-0.0596427,0.045353,-1.315088,0.42695, 
Left posterior cingulate, 0.1619886,0.068817, 2.353902,0.24405, 
Left precentral,-0.0741112,0.042883,-1.728215,0.34074, 
Left precuneus,-0.1114959,0.060388,-1.846315,0.34074, 
Left rostral anterior cingulate, 0.0765293,0.101815, 0.751650,0.59843, 
Left rostral middle frontal,-0.1540728,0.083414,-1.847094,0.34074, 
Left superior frontal,-0.1477117,0.063571,-2.323558,0.24405, 
Left superior parietal,-0.0402354,0.050031,-0.804214,0.58124, 
Left superior temporal, 0.0453024,0.053080, 0.853466,0.57451, 
Left supramarginal,-0.0524465,0.057526,-0.911706,0.57451, 
Left transverse temporal, 0.0289107,0.078051, 0.370410,0.77372, 
Left insula, 0.1906561,0.093460, 2.039980,0.34074, 
Right caudal anterior cingulate, 0.1732950,0.110246, 1.571898,0.34074, 
Right caudal middle frontal,-0.1529537,0.063185,-2.420735,0.24405, 
Right cuneus,-0.1703156,0.074892,-2.274135,0.24405, 
Right entorhinal, 0.0918773,0.144430, 0.636136,0.62613, 
Right fusiform, 0.1504083,0.121254, 1.240445,0.42695, 
Right inferior parietal,-0.0711786,0.082265,-0.865236,0.57451, 
Right inferior temporal, 0.1250690,0.100156, 1.248748,0.42695, 
Right isthmus cingulate, 0.0531526,0.075063, 0.708104,0.59843, 
Right lateral occipital, 0.0637155,0.079066, 0.805851,0.58124, 
Right lateral orbitofrontal, 0.0607702,0.071873, 0.845516,0.57451, 
Right lingual,-0.0630723,0.089903,-0.701559,0.59843, 
Right medial orbitofrontal,-0.0434580,0.086992,-0.499566,0.69634, 
Right middle temporal,-0.0203804,0.077549,-0.262805,0.83318, 
Right parahippocampal, 0.0061056,0.095562, 0.063891,0.94910, 
Right paracentral,-0.1022951,0.059977,-1.705564,0.34074, 
Right pars opercularis, 0.1077624,0.059441, 1.812945,0.34074, 
Right pars orbitalis, 0.0531583,0.077320, 0.687512,0.59843, 
Right pars triangularis,-0.0875514,0.064597,-1.355354,0.42031, 
Right pericalcarine,-0.0839612,0.111950,-0.749986,0.59843, 
Right postcentral,-0.0252305,0.046546,-0.542061,0.67529, 
Right posterior cingulate,-0.0962503,0.078382,-1.227961,0.42695, 
Right precentral,-0.0458823,0.046811,-0.980150,0.56446, 
Right precuneus,-0.0644541,0.058810,-1.095967,0.51463, 
Right rostral anterior cingulate, 0.2240906,0.128651, 1.741844,0.34074, 
Right rostral middle frontal,-0.2243792,0.090016,-2.492666,0.24405, 
Right superior frontal,-0.1914937,0.061966,-3.090304,0.13482, 
Right superior parietal,-0.0911708,0.058627,-1.555101,0.34074, 
Right superior temporal, 0.0932153,0.051213, 1.820161,0.34074, 
Right supramarginal,-0.0344538,0.059264,-0.581364,0.65674, 
Right transverse temporal, 0.1095928,0.076792, 1.427135,0.38319, 
Right insula, 0.0668489,0.091131, 0.733544,0.59843, 
