ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.699009,0.65926,-0.543169,0.902015, 
Left caudal middle frontal, 0.579138,1.04900,-0.520698,0.902015, 
Left cuneus, 2.585473,0.82704, 1.148569,0.625771, 
Left entorhinal, 1.078210,0.41524, 0.181346,0.931321, 
Left fusiform, 0.529058,0.52635,-1.209567,0.625771, 
Left inferior parietal, 0.292166,0.85192,-1.444304,0.570830, 
Left inferior temporal, 1.220822,0.55842, 0.357301,0.931321, 
Left isthmus cingulate, 1.341018,0.75713, 0.387552,0.931321, 
Left lateral occipital, 0.991522,0.66497,-0.012803,0.989785, 
Left lateral orbitofrontal, 0.299462,0.90271,-1.335721,0.570830, 
Left lingual, 0.754221,0.56836,-0.496284,0.902015, 
Left medial orbitofrontal, 0.094463,0.74126,-3.183155,0.090321,.
Left middle temporal, 0.752541,0.68478,-0.415172,0.931321, 
Left parahippocampal, 0.593737,0.49619,-1.050635,0.632173, 
Left paracentral, 7.130069,1.11646, 1.759414,0.486745, 
Left pars opercularis, 1.108844,0.83290, 0.124046,0.931321, 
Left pars orbitalis, 0.833468,0.84580,-0.215371,0.931321, 
Left pars triangularis, 0.429828,0.91176,-0.926085,0.665846, 
Left pericalcarine, 1.203963,0.52852, 0.351207,0.931321, 
Left postcentral, 6.289289,1.35082, 1.361278,0.570830, 
Left posterior cingulate, 1.284218,0.79423, 0.314961,0.931321, 
Left precentral,12.621031,1.31350, 1.930233,0.415230, 
Left precuneus, 0.889089,0.91889,-0.127934,0.931321, 
Left rostral anterior cingulate, 0.598871,0.54883,-0.934190,0.665846, 
Left rostral middle frontal, 0.178197,0.81348,-2.120352,0.393045, 
Left superior frontal, 0.892041,1.19376,-0.095700,0.938902, 
Left superior parietal, 4.684141,1.10871, 1.392774,0.570830, 
Left superior temporal, 0.171120,1.20744,-1.462097,0.570830, 
Left supramarginal, 2.035269,1.18749, 0.598429,0.886064, 
Left transverse temporal, 0.244229,0.70114,-2.010521,0.393045, 
Left insula, 0.747427,0.59663,-0.487941,0.902015, 
Right caudal anterior cingulate, 1.668299,0.56933, 0.898951,0.672296, 
Right caudal middle frontal, 2.195808,0.98926, 0.795086,0.734637, 
Right cuneus, 2.870383,0.75759, 1.391836,0.570830, 
Right entorhinal, 1.165186,0.41004, 0.372845,0.931321, 
Right fusiform, 0.514076,0.57774,-1.151708,0.625771, 
Right inferior parietal, 1.225891,0.74305, 0.274097,0.931321, 
Right inferior temporal, 0.908549,0.66448,-0.144333,0.931321, 
Right isthmus cingulate, 0.321719,0.71944,-1.576334,0.548482, 
Right lateral occipital, 2.932135,0.80997, 1.328119,0.570830, 
Right lateral orbitofrontal, 1.231278,0.85464, 0.243438,0.931321, 
Right lingual, 3.238671,0.65391, 1.797144,0.486745, 
Right medial orbitofrontal, 0.490428,0.64566,-1.103478,0.625771, 
Right middle temporal, 0.166997,0.87254,-2.051220,0.393045, 
Right parahippocampal, 0.559517,0.62514,-0.928882,0.665846, 
Right paracentral,21.660678,1.17318, 2.621516,0.271373, 
Right pars opercularis, 1.295240,0.97302, 0.265868,0.931321, 
Right pars orbitalis, 0.893984,0.66863,-0.167609,0.931321, 
Right pars triangularis, 1.126802,0.76547, 0.155962,0.931321, 
Right pericalcarine, 1.641556,0.58963, 0.840602,0.709583, 
Right postcentral, 5.017067,1.41714, 1.138097,0.625771, 
Right posterior cingulate, 2.403655,0.79923, 1.097293,0.625771, 
Right precentral, 8.534128,1.25713, 1.705524,0.496545, 
Right precuneus, 0.802091,0.96205,-0.229234,0.931321, 
Right rostral anterior cingulate, 0.768028,0.44980,-0.586763,0.886064, 
Right rostral middle frontal, 0.314453,0.73404,-1.576093,0.548482, 
Right superior frontal, 0.469936,1.14822,-0.657674,0.855847, 
Right superior parietal,12.053434,1.19462, 2.083803,0.393045, 
Right superior temporal, 0.292829,1.11117,-1.105293,0.625771, 
Right supramarginal, 2.923915,1.02602, 1.045712,0.632173, 
Right transverse temporal, 0.216993,0.71053,-2.150355,0.393045, 
Right insula, 1.693210,0.55555, 0.947930,0.665846, 
