ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,2.08904,0.29374, 2.5080189,0.155202, 
Left caudal middle frontal,1.52031,0.34467, 1.2153870,0.422024, 
Left cuneus,1.56429,0.40736, 1.0983611,0.481912, 
Left entorhinal,1.27309,0.19383, 1.2456458,0.422024, 
Left fusiform,0.97237,0.20683,-0.1354571,0.923066, 
Left inferior parietal,0.67540,0.43206,-0.9083287,0.563742, 
Left inferior temporal,0.82487,0.27155,-0.7090196,0.640531, 
Left isthmus cingulate,2.39883,0.35038, 2.4972441,0.155202, 
Left lateral occipital,0.86557,0.43535,-0.3316264,0.805099, 
Left lateral orbitofrontal,1.44387,0.30695, 1.1966769,0.422024, 
Left lingual,0.96949,0.25442,-0.1217789,0.923066, 
Left medial orbitofrontal,1.16255,0.31249, 0.4819806,0.736770, 
Left middle temporal,0.66266,0.29288,-1.4050086,0.400325, 
Left parahippocampal,1.74179,0.28075, 1.9765263,0.227812, 
Left paracentral,5.24917,0.50578, 3.2782667,0.063951,.
Left pars opercularis,1.19603,0.33603, 0.5327285,0.708495, 
Left pars orbitalis,1.44548,0.28337, 1.3002182,0.422024, 
Left pars triangularis,0.99856,0.33030,-0.0043769,0.996508, 
Left pericalcarine,1.24455,0.30982, 0.7061249,0.640531, 
Left postcentral,1.34676,0.52796, 0.5638744,0.708495, 
Left posterior cingulate,1.48876,0.30975, 1.2847389,0.422024, 
Left precentral,2.81510,0.47420, 2.1826251,0.197550, 
Left precuneus,1.73182,0.39218, 1.4003067,0.400325, 
Left rostral anterior cingulate,1.58267,0.27463, 1.6717208,0.313407, 
Left rostral middle frontal,1.16600,0.28104, 0.5464625,0.708495, 
Left superior frontal,1.74030,0.33204, 1.6686711,0.313407, 
Left superior parietal,1.91577,0.53773, 1.2090159,0.422024, 
Left superior temporal,1.15202,0.34613, 0.4088598,0.769524, 
Left supramarginal,1.17576,0.36501, 0.4436003,0.754714, 
Left transverse temporal,1.89835,0.34299, 1.8688350,0.238877, 
Left insula,1.93789,0.26376, 2.5083092,0.155202, 
Right caudal anterior cingulate,1.76475,0.23577, 2.4092058,0.165202, 
Right caudal middle frontal,2.37997,0.37935, 2.2857335,0.182495, 
Right cuneus,1.36284,0.47671, 0.6493865,0.653010, 
Right entorhinal,1.20740,0.18132, 1.0394346,0.487194, 
Right fusiform,0.74339,0.20450,-1.4500923,0.400325, 
Right inferior parietal,0.42198,0.41975,-2.0554696,0.224517, 
Right inferior temporal,0.60691,0.25103,-1.9893153,0.227812, 
Right isthmus cingulate,2.01052,0.35856, 1.9477797,0.227812, 
Right lateral occipital,0.57516,0.42816,-1.2918393,0.422024, 
Right lateral orbitofrontal,1.34769,0.28444, 1.0490680,0.487194, 
Right lingual,1.05768,0.28060, 0.1998505,0.899639, 
Right medial orbitofrontal,1.24542,0.28336, 0.7745347,0.632421, 
Right middle temporal,0.68251,0.24803,-1.5400956,0.364728, 
Right parahippocampal,1.28169,0.26405, 0.9398998,0.552069, 
Right paracentral,4.64667,0.49859, 3.0810191,0.063951,.
Right pars opercularis,1.35559,0.29156, 1.0435028,0.487194, 
Right pars orbitalis,1.24241,0.25093, 0.8650009,0.585277, 
Right pars triangularis,1.24786,0.26545, 0.8341472,0.596673, 
Right pericalcarine,1.66633,0.35583, 1.4350054,0.400325, 
Right postcentral,1.77954,0.47845, 1.2046388,0.422024, 
Right posterior cingulate,1.21779,0.28935, 0.6809634,0.640531, 
Right precentral,2.59944,0.42187, 2.2644289,0.182495, 
Right precuneus,1.37189,0.46145, 0.6852072,0.640531, 
Right rostral anterior cingulate,1.40958,0.22116, 1.5522388,0.364728, 
Right rostral middle frontal,1.20641,0.27055, 0.6935879,0.640531, 
Right superior frontal,2.06152,0.33709, 2.1461260,0.197550, 
Right superior parietal,1.88081,0.50166, 1.2592211,0.422024, 
Right superior temporal,0.89255,0.29224,-0.3889578,0.772019, 
Right supramarginal,1.03983,0.33867, 0.1153375,0.923066, 
Right transverse temporal,1.64746,0.29996, 1.6643427,0.313407, 
Right insula,1.62596,0.25922, 1.8752021,0.238877, 
