ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.2524500,0.21830,-1.156414,0.97376, 
Left caudal middle frontal,-0.0102473,0.14083,-0.072762,0.97376, 
Left cuneus, 0.1736015,0.15273, 1.136647,0.97376, 
Left entorhinal, 0.1773087,0.26188, 0.677054,0.97376, 
Left fusiform, 0.2204255,0.22009, 1.001535,0.97376, 
Left inferior parietal,-0.0385556,0.15481,-0.249055,0.97376, 
Left inferior temporal, 0.1079574,0.19143, 0.563953,0.97376, 
Left isthmus cingulate,-0.0329415,0.17014,-0.193610,0.97376, 
Left lateral occipital,-0.0768381,0.16971,-0.452752,0.97376, 
Left lateral orbitofrontal, 0.1055709,0.17431, 0.605659,0.97376, 
Left lingual,-0.0078885,0.23943,-0.032947,0.97376, 
Left medial orbitofrontal,-0.2452146,0.20075,-1.221468,0.97376, 
Left middle temporal,-0.0883465,0.17877,-0.494196,0.97376, 
Left parahippocampal,-0.0656850,0.23365,-0.281122,0.97376, 
Left paracentral, 0.1063134,0.11506, 0.923973,0.97376, 
Left pars opercularis,-0.1384956,0.15540,-0.891218,0.97376, 
Left pars orbitalis,-0.1104908,0.17128,-0.645081,0.97376, 
Left pars triangularis,-0.0608072,0.15619,-0.389310,0.97376, 
Left pericalcarine,-0.0961366,0.21770,-0.441609,0.97376, 
Left postcentral,-0.0362397,0.12160,-0.298023,0.97376, 
Left posterior cingulate,-0.1204687,0.14741,-0.817262,0.97376, 
Left precentral,-0.0218263,0.13040,-0.167380,0.97376, 
Left precuneus, 0.1856502,0.13712, 1.353890,0.97376, 
Left rostral anterior cingulate,-0.3413532,0.24050,-1.419324,0.97376, 
Left rostral middle frontal, 0.0751706,0.18419, 0.408117,0.97376, 
Left superior frontal, 0.1285037,0.13572, 0.946858,0.97376, 
Left superior parietal, 0.0288481,0.10768, 0.267898,0.97376, 
Left superior temporal,-0.0830074,0.14555,-0.570289,0.97376, 
Left supramarginal,-0.1268519,0.14995,-0.845950,0.97376, 
Left transverse temporal,-0.1968060,0.18798,-1.046966,0.97376, 
Left insula,-0.3538927,0.21888,-1.616831,0.97376, 
Right caudal anterior cingulate, 0.0230789,0.23829, 0.096853,0.97376, 
Right caudal middle frontal,-0.0204119,0.14449,-0.141267,0.97376, 
Right cuneus, 0.0327025,0.15384, 0.212574,0.97376, 
Right entorhinal, 0.1786055,0.29477, 0.605908,0.97376, 
Right fusiform, 0.2282649,0.25125, 0.908502,0.97376, 
Right inferior parietal,-0.0675974,0.16373,-0.412860,0.97376, 
Right inferior temporal, 0.1237008,0.20916, 0.591412,0.97376, 
Right isthmus cingulate,-0.1032133,0.15119,-0.682665,0.97376, 
Right lateral occipital,-0.1237396,0.17180,-0.720237,0.97376, 
Right lateral orbitofrontal,-0.0643400,0.18567,-0.346529,0.97376, 
Right lingual,-0.0944350,0.22771,-0.414720,0.97376, 
Right medial orbitofrontal, 0.0134271,0.18621, 0.072109,0.97376, 
Right middle temporal, 0.0236148,0.17398, 0.135736,0.97376, 
Right parahippocampal, 0.1879028,0.21448, 0.876072,0.97376, 
Right paracentral, 0.0483822,0.11004, 0.439670,0.97376, 
Right pars opercularis,-0.0981452,0.15001,-0.654246,0.97376, 
Right pars orbitalis,-0.1708882,0.16869,-1.013028,0.97376, 
Right pars triangularis,-0.2377000,0.14178,-1.676592,0.97376, 
Right pericalcarine,-0.1312897,0.21356,-0.614780,0.97376, 
Right postcentral,-0.0480422,0.12695,-0.378447,0.97376, 
Right posterior cingulate,-0.1567618,0.16574,-0.945847,0.97376, 
Right precentral,-0.0977348,0.14157,-0.690359,0.97376, 
Right precuneus, 0.0301359,0.12756, 0.236258,0.97376, 
Right rostral anterior cingulate,-0.0451975,0.24537,-0.184203,0.97376, 
Right rostral middle frontal, 0.0084909,0.18099, 0.046913,0.97376, 
Right superior frontal, 0.0919780,0.13943, 0.659682,0.97376, 
Right superior parietal, 0.1294876,0.11877, 1.090216,0.97376, 
Right superior temporal, 0.0072764,0.15077, 0.048261,0.97376, 
Right supramarginal,-0.0667639,0.15421,-0.432942,0.97376, 
Right transverse temporal,-0.0799393,0.18796,-0.425307,0.97376, 
Right insula,-0.2202241,0.22795,-0.966107,0.97376, 
