ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 1.437724,0.92435, 1.555395,0.36469, 
Left caudal middle frontal, 3.822864,1.51755, 2.519100,0.21060, 
Left cuneus, 1.219931,1.50846, 0.808725,0.55007, 
Left entorhinal, 0.120427,0.74482, 0.161686,0.90085, 
Left fusiform, 0.360891,0.78597, 0.459166,0.75410, 
Left inferior parietal, 2.675072,1.38112, 1.936880,0.29134, 
Left inferior temporal, 0.972905,1.03078, 0.943850,0.49300, 
Left isthmus cingulate,-0.069298,1.22217,-0.056701,0.95487, 
Left lateral occipital, 0.284032,1.28798, 0.220524,0.86779, 
Left lateral orbitofrontal, 1.525180,1.07489, 1.418914,0.37731, 
Left lingual, 0.867552,0.95601, 0.907468,0.49300, 
Left medial orbitofrontal, 1.374983,0.99754, 1.378370,0.39122, 
Left middle temporal, 0.258449,0.99152, 0.260661,0.84956, 
Left parahippocampal, 0.423585,0.98850, 0.428515,0.75410, 
Left paracentral, 2.346327,1.63774, 1.432661,0.37731, 
Left pars opercularis, 1.064451,1.11642, 0.953448,0.49300, 
Left pars orbitalis, 1.435641,1.00595, 1.427148,0.37731, 
Left pars triangularis, 1.275741,1.17922, 1.081854,0.47165, 
Left pericalcarine, 0.085979,1.09869, 0.078256,0.95311, 
Left postcentral, 1.469858,1.87612, 0.783457,0.55007, 
Left posterior cingulate, 2.379770,1.07187, 2.220197,0.24865, 
Left precentral, 2.364542,1.83166, 1.290927,0.39787, 
Left precuneus, 0.565577,1.54101, 0.367017,0.77683, 
Left rostral anterior cingulate, 2.033565,0.84136, 2.417011,0.21060, 
Left rostral middle frontal, 2.105124,1.04895, 2.006882,0.28991, 
Left superior frontal, 2.275595,1.22354, 1.859849,0.29134, 
Left superior parietal, 2.907111,2.15297, 1.350279,0.39677, 
Left superior temporal, 1.144501,1.24794, 0.917114,0.49300, 
Left supramarginal, 1.631533,1.50879, 1.081355,0.47165, 
Left transverse temporal, 0.932846,0.97552, 0.956260,0.49300, 
Left insula, 0.866094,0.75437, 1.148110,0.46127, 
Right caudal anterior cingulate, 1.474029,0.70122, 2.102089,0.25766, 
Right caudal middle frontal, 3.505857,1.34188, 2.612651,0.21060, 
Right cuneus, 1.718427,1.70016, 1.010745,0.49300, 
Right entorhinal, 0.295227,0.66250, 0.445624,0.75410, 
Right fusiform, 0.535285,0.68084, 0.786217,0.55007, 
Right inferior parietal, 2.683560,1.49655, 1.793165,0.29134, 
Right inferior temporal, 1.102124,0.89515, 1.231212,0.41406, 
Right isthmus cingulate, 1.102188,1.16268, 0.947972,0.49300, 
Right lateral occipital, 0.604429,1.36588, 0.442520,0.75410, 
Right lateral orbitofrontal, 0.638261,0.98290, 0.649364,0.64134, 
Right lingual, 0.885256,0.95189, 0.929994,0.49300, 
Right medial orbitofrontal, 2.053437,0.92073, 2.230215,0.24865, 
Right middle temporal, 1.370401,1.03932, 1.318550,0.39787, 
Right parahippocampal, 0.911483,0.89634, 1.016897,0.49300, 
Right paracentral, 2.903219,1.61520, 1.797435,0.29134, 
Right pars opercularis, 0.620187,1.07497, 0.576932,0.68680, 
Right pars orbitalis, 1.812449,0.96350, 1.881110,0.29134, 
Right pars triangularis, 1.711574,1.04019, 1.645444,0.35204, 
Right pericalcarine,-0.481003,1.23904,-0.388207,0.77331, 
Right postcentral, 1.916822,1.72010, 1.114364,0.47165, 
Right posterior cingulate, 2.943371,0.94883, 3.102117,0.14510, 
Right precentral, 2.061422,1.59287, 1.294159,0.39787, 
Right precuneus, 2.909246,1.61061, 1.806303,0.29134, 
Right rostral anterior cingulate, 1.018405,0.66378, 1.534255,0.36469, 
Right rostral middle frontal, 1.443806,0.84643, 1.705761,0.32952, 
Right superior frontal, 2.696466,1.09419, 2.464352,0.21060, 
Right superior parietal, 2.861682,1.87556, 1.525773,0.36469, 
Right superior temporal, 2.374368,1.11006, 2.138947,0.25766, 
Right supramarginal, 2.214464,1.40299, 1.578391,0.36469, 
Right transverse temporal, 1.495472,1.03416, 1.446080,0.37731, 
Right insula, 0.987158,0.77724, 1.270087,0.39959, 
