ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.1451794,0.195600, 0.742227,0.82263, 
Left caudal middle frontal, 0.0621893,0.119899, 0.518679,0.89272, 
Left cuneus,-0.0472750,0.126579,-0.373482,0.91433, 
Left entorhinal,-0.0735974,0.252851,-0.291070,0.91433, 
Left fusiform,-0.2022647,0.196194,-1.030942,0.82263, 
Left inferior parietal, 0.1611170,0.129821, 1.241073,0.77356, 
Left inferior temporal,-0.1420459,0.181466,-0.782767,0.82263, 
Left isthmus cingulate,-0.0425461,0.156625,-0.271643,0.91433, 
Left lateral occipital, 0.0734316,0.155829, 0.471231,0.91433, 
Left lateral orbitofrontal, 0.2013634,0.137931, 1.459882,0.66291, 
Left lingual, 0.1755059,0.183413, 0.956888,0.82263, 
Left medial orbitofrontal, 0.1750358,0.174994, 1.000236,0.82263, 
Left middle temporal, 0.1874757,0.169671, 1.104937,0.82263, 
Left parahippocampal,-0.3015204,0.209279,-1.440756,0.66291, 
Left paracentral,-0.0367817,0.108866,-0.337862,0.91433, 
Left pars opercularis, 0.0428599,0.140403, 0.305264,0.91433, 
Left pars orbitalis, 0.2414919,0.151159, 1.597599,0.66291, 
Left pars triangularis, 0.1118823,0.144384, 0.774892,0.82263, 
Left pericalcarine, 0.2604402,0.189029, 1.377781,0.66291, 
Left postcentral, 0.1708467,0.106974, 1.597081,0.66291, 
Left posterior cingulate, 0.0823023,0.153343, 0.536722,0.89272, 
Left precentral, 0.0932905,0.115428, 0.808211,0.82263, 
Left precuneus, 0.1075247,0.122902, 0.874879,0.82263, 
Left rostral anterior cingulate, 0.0605296,0.216650, 0.279389,0.91433, 
Left rostral middle frontal, 0.1853563,0.151998, 1.219465,0.77356, 
Left superior frontal, 0.0994555,0.116802, 0.851489,0.82263, 
Left superior parietal, 0.1468620,0.101573, 1.445873,0.66291, 
Left superior temporal, 0.0156162,0.126564, 0.123385,0.97271, 
Left supramarginal, 0.1880437,0.124406, 1.511529,0.66291, 
Left transverse temporal,-0.2217194,0.155539,-1.425491,0.66291, 
Left insula, 0.0156372,0.222010, 0.070435,0.97271, 
Right caudal anterior cingulate, 0.3368705,0.234252, 1.438069,0.66291, 
Right caudal middle frontal, 0.2747683,0.121402, 2.263300,0.66291, 
Right cuneus, 0.1503546,0.140826, 1.067661,0.82263, 
Right entorhinal,-0.0766734,0.239991,-0.319484,0.91433, 
Right fusiform, 0.0470729,0.182080, 0.258528,0.91433, 
Right inferior parietal, 0.2901728,0.135752, 2.137518,0.66291, 
Right inferior temporal, 0.0096384,0.162167, 0.059435,0.97271, 
Right isthmus cingulate,-0.0551027,0.164701,-0.334562,0.91433, 
Right lateral occipital, 0.0428849,0.130682, 0.328162,0.91433, 
Right lateral orbitofrontal, 0.1207484,0.144722, 0.834349,0.82263, 
Right lingual, 0.1252536,0.184747, 0.677972,0.83147, 
Right medial orbitofrontal, 0.0281536,0.177108, 0.158963,0.97085, 
Right middle temporal, 0.1373543,0.156047, 0.880209,0.82263, 
Right parahippocampal, 0.1496704,0.174632, 0.857059,0.82263, 
Right paracentral, 0.0844558,0.111695, 0.756131,0.82263, 
Right pars opercularis, 0.0028454,0.145473, 0.019560,0.98442, 
Right pars orbitalis, 0.0262790,0.169357, 0.155169,0.97085, 
Right pars triangularis, 0.0594103,0.158984, 0.373688,0.91433, 
Right pericalcarine, 0.3531671,0.172395, 2.048587,0.66291, 
Right postcentral, 0.0585573,0.100675, 0.581646,0.87060, 
Right posterior cingulate, 0.1023544,0.154842, 0.661026,0.83147, 
Right precentral, 0.0059409,0.110050, 0.053984,0.97271, 
Right precuneus, 0.0965047,0.120505, 0.800837,0.82263, 
Right rostral anterior cingulate, 0.3813133,0.275048, 1.386354,0.66291, 
Right rostral middle frontal, 0.1199745,0.163560, 0.733518,0.82263, 
Right superior frontal, 0.2309270,0.131326, 1.758427,0.66291, 
Right superior parietal, 0.1352374,0.095428, 1.417168,0.66291, 
Right superior temporal, 0.0870981,0.144100, 0.604429,0.86875, 
Right supramarginal, 0.1747408,0.127052, 1.375346,0.66291, 
Right transverse temporal,-0.1121134,0.161644,-0.693583,0.83147, 
Right insula,-0.0181685,0.222142,-0.081788,0.97271, 
