ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.5577353,0.58937,-0.9463256,0.72363, 
Left caudal middle frontal, 1.0857355,1.43073, 0.7588672,0.75231, 
Left cuneus,-1.0853304,1.20940,-0.8974090,0.72363, 
Left entorhinal,-0.7656794,0.52950,-1.4460357,0.65668, 
Left fusiform,-1.0284272,0.68787,-1.4950842,0.65668, 
Left inferior parietal, 0.6262453,1.15950, 0.5400994,0.78261, 
Left inferior temporal,-0.8081288,0.74317,-1.0874129,0.71690, 
Left isthmus cingulate,-1.0776795,0.72718,-1.4820056,0.65668, 
Left lateral occipital, 0.3428776,1.11919, 0.3063612,0.88689, 
Left lateral orbitofrontal,-1.4002640,0.62829,-2.2287081,0.46526, 
Left lingual,-0.2247313,0.69391,-0.3238605,0.88689, 
Left medial orbitofrontal,-1.5007175,0.51432,-2.9178872,0.31788, 
Left middle temporal, 0.0079177,0.79818, 0.0099197,0.99212, 
Left parahippocampal,-0.6020181,0.61951,-0.9717701,0.72363, 
Left paracentral,-0.7845873,1.00668,-0.7793776,0.75231, 
Left pars opercularis,-0.3447696,0.77294,-0.4460513,0.83174, 
Left pars orbitalis,-0.7115579,0.66215,-1.0746189,0.71690, 
Left pars triangularis,-0.4866631,0.75256,-0.6466789,0.76847, 
Left pericalcarine, 0.6110408,0.82541, 0.7402845,0.75231, 
Left postcentral,-0.5820792,1.04770,-0.5555800,0.78261, 
Left posterior cingulate,-0.0733538,0.75238,-0.0974960,0.93782, 
Left precentral,-0.2077273,0.99934,-0.2078647,0.89378, 
Left precuneus,-0.3011908,1.04987,-0.2868844,0.88689, 
Left rostral anterior cingulate,-0.7301743,0.43050,-1.6961259,0.65668, 
Left rostral middle frontal,-1.0736567,0.90931,-1.1807335,0.71690, 
Left superior frontal,-1.0200524,1.06897,-0.9542400,0.72363, 
Left superior parietal,-0.1463911,1.36033,-0.1076142,0.93782, 
Left superior temporal,-0.7304503,0.80684,-0.9053273,0.72363, 
Left supramarginal, 0.7349938,1.06377, 0.6909312,0.75231, 
Left transverse temporal, 0.1816344,0.70305, 0.2583515,0.88689, 
Left insula,-0.5841573,0.44998,-1.2981888,0.68799, 
Right caudal anterior cingulate,-0.4255017,0.46228,-0.9204464,0.72363, 
Right caudal middle frontal, 1.2449425,1.16275, 1.0706908,0.71690, 
Right cuneus, 1.3237083,1.00622, 1.3155307,0.68799, 
Right entorhinal,-0.9179958,0.54057,-1.6981963,0.65668, 
Right fusiform,-0.4646280,0.68023,-0.6830455,0.75231, 
Right inferior parietal, 0.2813604,0.91359, 0.3079711,0.88689, 
Right inferior temporal,-1.3957352,0.86266,-1.6179515,0.65668, 
Right isthmus cingulate,-1.3113213,0.73655,-1.7803509,0.65668, 
Right lateral occipital, 0.5568053,1.20681, 0.4613848,0.83174, 
Right lateral orbitofrontal,-1.3155574,0.56805,-2.3159121,0.46526, 
Right lingual,-0.1609646,0.68596,-0.2346551,0.88689, 
Right medial orbitofrontal,-1.3585902,0.52433,-2.5910816,0.38062, 
Right middle temporal,-0.1518890,0.84356,-0.1800567,0.90140, 
Right parahippocampal,-0.4220076,0.61080,-0.6909121,0.75231, 
Right paracentral,-0.2726198,1.07719,-0.2530844,0.88689, 
Right pars opercularis,-0.6598497,0.67609,-0.9759761,0.72363, 
Right pars orbitalis,-0.6136495,0.55295,-1.1097769,0.71690, 
Right pars triangularis,-0.9099689,0.65346,-1.3925437,0.65668, 
Right pericalcarine, 1.2723813,0.82391, 1.5443171,0.65668, 
Right postcentral,-0.9217937,1.09264,-0.8436362,0.75231, 
Right posterior cingulate,-0.4512083,0.78538,-0.5745087,0.78261, 
Right precentral,-0.5149766,0.95846,-0.5372971,0.78261, 
Right precuneus,-0.7438540,1.07993,-0.6887966,0.75231, 
Right rostral anterior cingulate,-0.6853595,0.38623,-1.7744624,0.65668, 
Right rostral middle frontal,-0.9541837,0.67283,-1.4181584,0.65668, 
Right superior frontal,-0.9436268,0.84455,-1.1173087,0.71690, 
Right superior parietal,-0.4070445,1.34624,-0.3023563,0.88689, 
Right superior temporal,-0.7828582,0.69736,-1.1226068,0.71690, 
Right supramarginal, 0.5379025,0.97774, 0.5501510,0.78261, 
Right transverse temporal,-0.5665601,0.72468,-0.7818024,0.75231, 
Right insula,-0.6696942,0.44755,-1.4963443,0.65668, 
