ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.2705731,0.84154, 0.3215229,0.94526, 
Left caudal middle frontal,-0.6179584,0.92039,-0.6714123,0.94526, 
Left cuneus,-0.6564713,0.98744,-0.6648228,0.94526, 
Left entorhinal, 0.2700272,0.55060, 0.4904260,0.94526, 
Left fusiform,-0.1537337,0.55939,-0.2748237,0.94526, 
Left inferior parietal,-0.5239419,0.88142,-0.5944288,0.94526, 
Left inferior temporal, 0.2021469,0.78884, 0.2562575,0.94526, 
Left isthmus cingulate,-0.3959080,1.17305,-0.3375033,0.94526, 
Left lateral occipital,-0.7135323,0.97854,-0.7291837,0.94526, 
Left lateral orbitofrontal, 0.1758116,1.05714, 0.1663092,0.96551, 
Left lingual, 0.4714900,0.79137, 0.5957899,0.94526, 
Left medial orbitofrontal, 0.5386905,0.84057, 0.6408639,0.94526, 
Left middle temporal,-0.0781650,0.86754,-0.0901001,0.96551, 
Left parahippocampal,-0.2110314,0.69763,-0.3024955,0.94526, 
Left paracentral,-3.4759844,1.29889,-2.6761265,0.55869, 
Left pars opercularis,-0.4571276,1.26250,-0.3620804,0.94526, 
Left pars orbitalis,-0.6332772,1.00724,-0.6287244,0.94526, 
Left pars triangularis,-1.3757053,1.32103,-1.0413920,0.94526, 
Left pericalcarine, 0.0021524,0.68426, 0.0031456,0.99750, 
Left postcentral, 0.2117637,1.50245, 0.1409456,0.96551, 
Left posterior cingulate, 1.2102181,0.96932, 1.2485249,0.94526, 
Left precentral,-1.1062055,1.60522,-0.6891300,0.94526, 
Left precuneus,-0.2905226,1.24486,-0.2333773,0.94526, 
Left rostral anterior cingulate, 0.7424301,0.68334, 1.0864767,0.94526, 
Left rostral middle frontal,-0.4915355,0.87397,-0.5624174,0.94526, 
Left superior frontal,-0.2255438,0.98093,-0.2299289,0.94526, 
Left superior parietal, 0.3339607,1.45420, 0.2296530,0.94526, 
Left superior temporal, 0.4614925,1.49483, 0.3087251,0.94526, 
Left supramarginal, 0.2056493,0.91794, 0.2240345,0.94526, 
Left transverse temporal,-0.0967424,1.13780,-0.0850262,0.96551, 
Left insula,-0.3746528,0.91383,-0.4099794,0.94526, 
Right caudal anterior cingulate, 1.1022792,0.75808, 1.4540375,0.94526, 
Right caudal middle frontal, 1.0025746,0.96950, 1.0341182,0.94526, 
Right cuneus,-0.4775117,0.93308,-0.5117576,0.94526, 
Right entorhinal,-0.0559212,0.54080,-0.1034037,0.96551, 
Right fusiform,-0.5579833,0.60163,-0.9274459,0.94526, 
Right inferior parietal, 0.0606461,0.96288, 0.0629842,0.96551, 
Right inferior temporal, 0.2917072,0.70343, 0.4146919,0.94526, 
Right isthmus cingulate, 0.5707012,1.05173, 0.5426324,0.94526, 
Right lateral occipital,-0.4292297,1.00154,-0.4285712,0.94526, 
Right lateral orbitofrontal,-0.0661845,1.00275,-0.0660033,0.96551, 
Right lingual, 1.1456261,0.83374, 1.3740780,0.94526, 
Right medial orbitofrontal, 0.6811919,0.87903, 0.7749381,0.94526, 
Right middle temporal, 0.2831180,0.89609, 0.3159484,0.94526, 
Right parahippocampal,-1.1200724,0.72240,-1.5504948,0.94526, 
Right paracentral,-2.0000601,1.13415,-1.7634903,0.94526, 
Right pars opercularis,-1.2385259,1.12391,-1.1019808,0.94526, 
Right pars orbitalis, 0.4716792,0.81014, 0.5822205,0.94526, 
Right pars triangularis, 0.7745090,1.02388, 0.7564484,0.94526, 
Right pericalcarine,-0.3614892,0.75272,-0.4802429,0.94526, 
Right postcentral,-0.9644523,1.56038,-0.6180865,0.94526, 
Right posterior cingulate, 1.2234545,1.04276, 1.1732857,0.94526, 
Right precentral,-0.5579016,1.51365,-0.3685807,0.94526, 
Right precuneus,-0.8687422,1.25429,-0.6926165,0.94526, 
Right rostral anterior cingulate, 0.9247255,0.72367, 1.2778325,0.94526, 
Right rostral middle frontal, 0.4608421,0.72753, 0.6334380,0.94526, 
Right superior frontal, 0.3793110,1.04134, 0.3642524,0.94526, 
Right superior parietal,-1.0062868,1.26227,-0.7972031,0.94526, 
Right superior temporal,-1.0290947,1.59859,-0.6437511,0.94526, 
Right supramarginal, 0.3697096,0.99505, 0.3715472,0.94526, 
Right transverse temporal, 0.5349762,1.05567, 0.5067630,0.94526, 
Right insula,-0.2529793,1.09180,-0.2317086,0.94526, 
