ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 1.51311,0.49259, 0.840795,0.59823, 
Left caudal middle frontal, 2.00436,0.78703, 0.883476,0.59823, 
Left cuneus, 4.16979,0.79137, 1.804290,0.29423, 
Left entorhinal, 1.50935,0.37547, 1.096430,0.59823, 
Left fusiform, 0.89202,0.46681,-0.244792,0.90928, 
Left inferior parietal, 0.75161,0.73265,-0.389736,0.81504, 
Left inferior temporal, 1.73570,0.52538, 1.049559,0.59823, 
Left isthmus cingulate, 2.63676,0.61783, 1.569296,0.35656, 
Left lateral occipital, 1.43788,0.63019, 0.576292,0.74122, 
Left lateral orbitofrontal, 1.12705,0.68827, 0.173771,0.92150, 
Left lingual, 1.30339,0.50219, 0.527626,0.74122, 
Left medial orbitofrontal, 0.38189,0.56339,-1.708624,0.31919, 
Left middle temporal, 1.58202,0.54986, 0.834219,0.59823, 
Left parahippocampal, 0.96652,0.44972,-0.075724,0.95955, 
Left paracentral,10.29363,0.92794, 2.512571,0.12624, 
Left pars opercularis, 2.20170,0.67596, 1.167562,0.57942, 
Left pars orbitalis, 1.88788,0.63086, 1.007279,0.59823, 
Left pars triangularis, 1.33391,0.63709, 0.452233,0.77631, 
Left pericalcarine, 1.32041,0.52088, 0.533603,0.74122, 
Left postcentral, 6.61500,0.91033, 2.075438,0.27760, 
Left posterior cingulate, 2.42438,0.61417, 1.441903,0.42084, 
Left precentral, 9.22513,0.88063, 2.523108,0.12624, 
Left precuneus, 2.04527,0.77972, 0.917672,0.59823, 
Left rostral anterior cingulate, 1.22743,0.42417, 0.483105,0.76469, 
Left rostral middle frontal, 0.69201,0.61679,-0.596897,0.74122, 
Left superior frontal, 2.64653,0.82304, 1.182509,0.57942, 
Left superior parietal, 6.98430,0.95146, 2.042834,0.27760, 
Left superior temporal, 1.50978,0.75220, 0.547677,0.74122, 
Left supramarginal, 3.44779,0.76324, 1.621674,0.34222, 
Left transverse temporal, 0.70212,0.58305,-0.606550,0.74122, 
Left insula, 1.55352,0.42862, 1.027762,0.59823, 
Right caudal anterior cingulate, 2.06994,0.41660, 1.746338,0.31292, 
Right caudal middle frontal, 3.71371,0.79449, 1.651416,0.33981, 
Right cuneus, 4.16254,0.75292, 1.894137,0.27760, 
Right entorhinal, 1.50929,0.38141, 1.079262,0.59823, 
Right fusiform, 0.94200,0.50747,-0.117743,0.95235, 
Right inferior parietal, 1.81823,0.69541, 0.859723,0.59823, 
Right inferior temporal, 1.64943,0.58091, 0.861458,0.59823, 
Right isthmus cingulate, 1.01345,0.56021, 0.023851,0.98097, 
Right lateral occipital, 4.46224,0.77725, 1.924295,0.27760, 
Right lateral orbitofrontal, 2.52702,0.65630, 1.412522,0.42536, 
Right lingual, 4.11656,0.56038, 2.525101,0.12624, 
Right medial orbitofrontal, 1.10395,0.52611, 0.187967,0.92150, 
Right middle temporal, 0.95934,0.59175,-0.070148,0.95955, 
Right parahippocampal, 1.10807,0.53782, 0.190811,0.92150, 
Right paracentral,18.09412,0.93506, 3.096677,0.12134, 
Right pars opercularis, 2.90249,0.68678, 1.551550,0.35656, 
Right pars orbitalis, 1.67199,0.55010, 0.934401,0.59823, 
Right pars triangularis, 2.12460,0.59482, 1.266900,0.53008, 
Right pericalcarine, 1.92887,0.57426, 1.143976,0.58012, 
Right postcentral, 7.59460,1.00056, 2.026305,0.27760, 
Right posterior cingulate, 3.42321,0.62602, 1.965719,0.27760, 
Right precentral,10.35188,0.93270, 2.505820,0.12624, 
Right precuneus, 1.97331,0.78861, 0.861914,0.59823, 
Right rostral anterior cingulate, 1.25079,0.33865, 0.660780,0.71688, 
Right rostral middle frontal, 0.85079,0.57408,-0.281476,0.89366, 
Right superior frontal, 1.85970,0.72003, 0.861656,0.59823, 
Right superior parietal,15.87482,1.04791, 2.638338,0.12624, 
Right superior temporal, 1.71233,0.64625, 0.832272,0.59823, 
Right supramarginal, 4.02396,0.75557, 1.842680,0.28952, 
Right transverse temporal, 0.66257,0.57086,-0.721060,0.67893, 
Right insula, 2.37155,0.44289, 1.949777,0.27760, 
