ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.29472704,0.24318, 1.2119807,0.40258, 
Left caudal middle frontal, 0.31080609,0.14612, 2.1270591,0.21645, 
Left cuneus,-0.03417999,0.15869,-0.2153935,0.90251, 
Left entorhinal, 0.00039026,0.32396, 0.0012047,0.99904, 
Left fusiform,-0.14212948,0.25155,-0.5650096,0.72482, 
Left inferior parietal, 0.24347981,0.14003, 1.7387108,0.27454, 
Left inferior temporal, 0.02162112,0.23062, 0.0937537,0.95627, 
Left isthmus cingulate,-0.01434971,0.20531,-0.0698921,0.95985, 
Left lateral occipital, 0.01988948,0.17296, 0.1149965,0.95627, 
Left lateral orbitofrontal, 0.33425716,0.21843, 1.5303059,0.31395, 
Left lingual, 0.13542967,0.25786, 0.5252160,0.73741, 
Left medial orbitofrontal, 0.34291402,0.23505, 1.4589021,0.31395, 
Left middle temporal, 0.50243553,0.21471, 2.3400510,0.20043, 
Left parahippocampal,-0.20588881,0.26961,-0.7636540,0.62870, 
Left paracentral, 0.11865855,0.14958, 0.7932689,0.61822, 
Left pars opercularis, 0.37748709,0.22341, 1.6896848,0.27454, 
Left pars orbitalis, 0.47240990,0.22647, 2.0859759,0.21716, 
Left pars triangularis, 0.42479109,0.18812, 2.2581302,0.20043, 
Left pericalcarine, 0.18042879,0.22674, 0.7957625,0.61822, 
Left postcentral, 0.35185155,0.16280, 2.1612641,0.21645, 
Left posterior cingulate, 0.20609001,0.19119, 1.0779342,0.46116, 
Left precentral, 0.33138034,0.17556, 1.8875443,0.25153, 
Left precuneus, 0.15643419,0.15544, 1.0064140,0.50188, 
Left rostral anterior cingulate, 0.21951362,0.29936, 0.7332843,0.63988, 
Left rostral middle frontal, 0.42543870,0.18202, 2.3373112,0.20043, 
Left superior frontal, 0.29555730,0.14943, 1.9778533,0.21975, 
Left superior parietal, 0.25104194,0.12585, 1.9947612,0.21975, 
Left superior temporal, 0.30904727,0.21001, 1.4715529,0.31395, 
Left supramarginal, 0.49412860,0.16742, 2.9514137,0.12671, 
Left transverse temporal, 0.07049686,0.26204, 0.2690296,0.87270, 
Left insula, 0.30386597,0.32227, 0.9428900,0.53804, 
Right caudal anterior cingulate, 0.47094610,0.30162, 1.5614146,0.31395, 
Right caudal middle frontal, 0.44315642,0.15217, 2.9123337,0.12671, 
Right cuneus, 0.20597526,0.16749, 1.2297719,0.40217, 
Right entorhinal,-0.10598055,0.32969,-0.3214504,0.84351, 
Right fusiform, 0.12867539,0.27552, 0.4670246,0.73741, 
Right inferior parietal, 0.41553029,0.16218, 2.5622167,0.17516, 
Right inferior temporal, 0.11867222,0.23076, 0.5142633,0.73741, 
Right isthmus cingulate, 0.02049739,0.20112, 0.1019146,0.95627, 
Right lateral occipital, 0.07808125,0.16153, 0.4833903,0.73741, 
Right lateral orbitofrontal, 0.38932283,0.23754, 1.6389616,0.29066, 
Right lingual, 0.18432024,0.27734, 0.6645887,0.68368, 
Right medial orbitofrontal, 0.10996017,0.23627, 0.4654004,0.73741, 
Right middle temporal, 0.43545527,0.21571, 2.0187178,0.21975, 
Right parahippocampal, 0.22401251,0.25516, 0.8779411,0.57654, 
Right paracentral, 0.26261163,0.15463, 1.6983610,0.27454, 
Right pars opercularis, 0.26689311,0.22424, 1.1901996,0.40591, 
Right pars orbitalis, 0.30483067,0.24377, 1.2504648,0.40217, 
Right pars triangularis, 0.30570315,0.20593, 1.4845172,0.31395, 
Right pericalcarine, 0.37099473,0.21761, 1.7048772,0.27454, 
Right postcentral, 0.23138603,0.16074, 1.4395178,0.31395, 
Right posterior cingulate, 0.23305539,0.18807, 1.2392245,0.40217, 
Right precentral, 0.19735135,0.17536, 1.1253762,0.43915, 
Right precuneus, 0.22859834,0.15303, 1.4938036,0.31395, 
Right rostral anterior cingulate, 0.62667148,0.34955, 1.7928072,0.27297, 
Right rostral middle frontal, 0.27940195,0.21747, 1.2847858,0.40136, 
Right superior frontal, 0.38144945,0.16963, 2.2487231,0.20043, 
Right superior parietal, 0.25780547,0.14170, 1.8194354,0.27297, 
Right superior temporal, 0.32856301,0.22715, 1.4464278,0.31395, 
Right supramarginal, 0.48402146,0.18689, 2.5898287,0.17516, 
Right transverse temporal, 0.15490563,0.26372, 0.5873954,0.72042, 
Right insula, 0.20446406,0.31970, 0.6395427,0.69039, 
