ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.391458,1.19074, 0.328751,0.99104, 
Left caudal middle frontal,-1.414619,2.85009,-0.496343,0.99104, 
Left cuneus,-0.080442,2.39857,-0.033537,0.99104, 
Left entorhinal, 0.187595,1.04989, 0.178680,0.99104, 
Left fusiform,-0.150534,1.37024,-0.109859,0.99104, 
Left inferior parietal,-1.710777,2.36873,-0.722234,0.99104, 
Left inferior temporal,-2.005439,1.43730,-1.395286,0.99104, 
Left isthmus cingulate,-0.437145,1.45187,-0.301090,0.99104, 
Left lateral occipital, 0.609882,2.18457, 0.279177,0.99104, 
Left lateral orbitofrontal, 0.014876,1.31831, 0.011284,0.99104, 
Left lingual, 0.951570,1.37020, 0.694476,0.99104, 
Left medial orbitofrontal,-0.146481,1.08472,-0.135041,0.99104, 
Left middle temporal,-4.550019,1.51486,-3.003594,0.25212, 
Left parahippocampal,-1.209468,1.20495,-1.003751,0.99104, 
Left paracentral,-2.385692,1.95404,-1.220900,0.99104, 
Left pars opercularis,-0.600891,1.54383,-0.389221,0.99104, 
Left pars orbitalis,-1.547364,1.35181,-1.144661,0.99104, 
Left pars triangularis,-2.110185,1.50805,-1.399278,0.99104, 
Left pericalcarine,-0.176875,1.64286,-0.107663,0.99104, 
Left postcentral,-1.858750,2.12521,-0.874621,0.99104, 
Left posterior cingulate,-0.250872,1.47944,-0.169572,0.99104, 
Left precentral,-3.206038,1.95225,-1.642227,0.99104, 
Left precuneus,-1.152108,2.08165,-0.553458,0.99104, 
Left rostral anterior cingulate, 0.463029,0.87458, 0.529432,0.99104, 
Left rostral middle frontal, 0.512330,1.81290, 0.282603,0.99104, 
Left superior frontal,-1.814249,2.12248,-0.854778,0.99104, 
Left superior parietal, 0.403476,2.73515, 0.147515,0.99104, 
Left superior temporal,-1.113859,1.64135,-0.678623,0.99104, 
Left supramarginal,-3.462560,2.24410,-1.542961,0.99104, 
Left transverse temporal,-0.237595,1.40432,-0.169189,0.99104, 
Left insula,-0.476508,0.89871,-0.530216,0.99104, 
Right caudal anterior cingulate,-0.251598,0.91707,-0.274351,0.99104, 
Right caudal middle frontal,-1.132467,2.43926,-0.464266,0.99104, 
Right cuneus, 0.305091,2.06671, 0.147622,0.99104, 
Right entorhinal, 0.799321,1.08271, 0.738262,0.99104, 
Right fusiform, 1.191851,1.34833, 0.883947,0.99104, 
Right inferior parietal, 0.042982,1.90657, 0.022544,0.99104, 
Right inferior temporal, 1.025138,1.71859, 0.596500,0.99104, 
Right isthmus cingulate,-1.268103,1.48090,-0.856303,0.99104, 
Right lateral occipital, 3.913561,2.29555, 1.704844,0.99104, 
Right lateral orbitofrontal, 1.348634,1.16035, 1.162262,0.99104, 
Right lingual, 1.252452,1.34587, 0.930587,0.99104, 
Right medial orbitofrontal, 1.127472,1.07160, 1.052138,0.99104, 
Right middle temporal,-1.685994,1.71556,-0.982767,0.99104, 
Right parahippocampal,-0.808686,1.25132,-0.646269,0.99104, 
Right paracentral,-3.316406,2.09547,-1.582651,0.99104, 
Right pars opercularis,-0.490884,1.36253,-0.360275,0.99104, 
Right pars orbitalis, 0.134507,1.11303, 0.120848,0.99104, 
Right pars triangularis,-0.069481,1.34331,-0.051724,0.99104, 
Right pericalcarine, 1.702919,1.66658, 1.021807,0.99104, 
Right postcentral,-2.558920,2.16035,-1.184490,0.99104, 
Right posterior cingulate, 0.304805,1.57887, 0.193052,0.99104, 
Right precentral,-3.025895,1.87684,-1.612228,0.99104, 
Right precuneus,-2.338021,2.16284,-1.080996,0.99104, 
Right rostral anterior cingulate,-0.690961,0.77722,-0.889016,0.99104, 
Right rostral middle frontal, 0.066927,1.34660, 0.049701,0.99104, 
Right superior frontal,-1.253666,1.71172,-0.732402,0.99104, 
Right superior parietal, 0.799088,2.75891, 0.289639,0.99104, 
Right superior temporal,-1.064231,1.41661,-0.751250,0.99104, 
Right supramarginal,-1.222907,2.05343,-0.595542,0.99104, 
Right transverse temporal,-1.767672,1.43094,-1.235323,0.99104, 
Right insula, 0.156465,0.89920, 0.174005,0.99104, 
