ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.0878841,0.124442,-0.706224,0.88320, 
Left caudal middle frontal, 0.0828160,0.107577, 0.769830,0.88320, 
Left cuneus, 0.1175051,0.116312, 1.010260,0.88320, 
Left entorhinal,-0.0843671,0.188733,-0.447019,0.90647, 
Left fusiform,-0.1634475,0.196206,-0.833039,0.88320, 
Left inferior parietal, 0.1149981,0.108804, 1.056932,0.88320, 
Left inferior temporal,-0.0322654,0.150398,-0.214534,0.91933, 
Left isthmus cingulate,-0.0440751,0.095358,-0.462209,0.90647, 
Left lateral occipital,-0.0289656,0.107890,-0.268473,0.90647, 
Left lateral orbitofrontal,-0.0369131,0.101695,-0.362977,0.90647, 
Left lingual,-0.3456585,0.150599,-2.295229,0.49708, 
Left medial orbitofrontal, 0.0382273,0.112708, 0.339171,0.90647, 
Left middle temporal, 0.1567874,0.118934, 1.318272,0.82634, 
Left parahippocampal,-0.1349606,0.155596,-0.867376,0.88320, 
Left paracentral,-0.0549264,0.080049,-0.686162,0.88320, 
Left pars opercularis, 0.0073516,0.080949, 0.090817,0.97236, 
Left pars orbitalis, 0.1992443,0.103733, 1.920737,0.52661, 
Left pars triangularis, 0.1674566,0.085988, 1.947452,0.52661, 
Left pericalcarine,-0.0439125,0.165909,-0.264678,0.90647, 
Left postcentral, 0.0492649,0.065041, 0.757444,0.88320, 
Left posterior cingulate,-0.1650177,0.110221,-1.497150,0.76653, 
Left precentral, 0.0913080,0.066171, 1.379884,0.82057, 
Left precuneus,-0.0049137,0.090327,-0.054400,0.97236, 
Left rostral anterior cingulate,-0.1763008,0.137071,-1.286201,0.82634, 
Left rostral middle frontal, 0.1548227,0.124872, 1.239853,0.83910, 
Left superior frontal, 0.0938938,0.105518, 0.889834,0.88320, 
Left superior parietal, 0.1611261,0.070055, 2.299983,0.49708, 
Left superior temporal, 0.0518427,0.071500, 0.725072,0.88320, 
Left supramarginal, 0.1838298,0.100142, 1.835695,0.52661, 
Left transverse temporal,-0.0431273,0.103602,-0.416277,0.90647, 
Left insula,-0.0450057,0.113856,-0.395286,0.90647, 
Right caudal anterior cingulate, 0.0082688,0.149054, 0.055475,0.97236, 
Right caudal middle frontal, 0.0702879,0.104039, 0.675591,0.88320, 
Right cuneus, 0.0720016,0.107571, 0.669342,0.88320, 
Right entorhinal, 0.1878521,0.185123, 1.014739,0.88320, 
Right fusiform,-0.1670804,0.191317,-0.873317,0.88320, 
Right inferior parietal, 0.0361479,0.107045, 0.337687,0.90647, 
Right inferior temporal, 0.0683574,0.151879, 0.450078,0.90647, 
Right isthmus cingulate,-0.0354535,0.099209,-0.357362,0.90647, 
Right lateral occipital,-0.0630046,0.099433,-0.633641,0.88320, 
Right lateral orbitofrontal,-0.1369229,0.099890,-1.370741,0.82057, 
Right lingual,-0.2875288,0.141578,-2.030891,0.52661, 
Right medial orbitofrontal, 0.0693043,0.109263, 0.634291,0.88320, 
Right middle temporal, 0.0638925,0.120242, 0.531366,0.90647, 
Right parahippocampal, 0.0047059,0.146770, 0.032063,0.97445, 
Right paracentral,-0.0058599,0.085235,-0.068750,0.97236, 
Right pars opercularis, 0.0070919,0.084582, 0.083847,0.97236, 
Right pars orbitalis,-0.0885287,0.117004,-0.756626,0.88320, 
Right pars triangularis, 0.0255201,0.102760, 0.248348,0.90647, 
Right pericalcarine, 0.0853738,0.149756, 0.570086,0.90502, 
Right postcentral, 0.0229371,0.062974, 0.364234,0.90647, 
Right posterior cingulate,-0.2484692,0.109250,-2.274326,0.49708, 
Right precentral, 0.0459353,0.069365, 0.662223,0.88320, 
Right precuneus, 0.1282187,0.082022, 1.563226,0.75645, 
Right rostral anterior cingulate,-0.0857475,0.147895,-0.579786,0.90502, 
Right rostral middle frontal, 0.0346400,0.132962, 0.260526,0.90647, 
Right superior frontal, 0.0887445,0.097974, 0.905799,0.88320, 
Right superior parietal, 0.1185649,0.076333, 1.553260,0.75645, 
Right superior temporal, 0.0647761,0.068677, 0.943204,0.88320, 
Right supramarginal, 0.0246145,0.097596, 0.252209,0.90647, 
Right transverse temporal,-0.0916849,0.099272,-0.923573,0.88320, 
Right insula,-0.1956881,0.106175,-1.843072,0.52661, 
